Datum,   Brot,Fleisch,    Fisch,    Molkerei-Eier,    Speisefette-öle,    Obst,    Gemüse,"    Zucker, Marmelade, Honig",    Fertigerichte,  Kaffee-Tee,    Wasser-Saft
2020-06-10,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-11,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-12,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-13,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-14,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-15,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-16,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-17,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-18,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-19,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-20,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-21,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-22,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-23,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-24,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-25,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-26,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-27,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-28,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-29,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-06-30,101.2,101.7,101.0,101.7,100.2,102.5,101.9,101.3,101.5,101.3,101.2
2020-07-01,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-02,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-03,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-04,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-05,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-06,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-07,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-08,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-09,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-10,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-11,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-12,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-13,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-14,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-15,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-16,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-17,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-18,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-19,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-20,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-21,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-22,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-23,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-24,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-25,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
2020-07-26,99.0,99.9,99.1,99.6,99.4,99.4,95.6,98.5,99.5,98.9,98.6
